entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,row_type,snapshot_date,cohort_month,wait_raw,wait_days,unit_original,status,queue_raw,queue_people,confidence,retrieved_at,source_url
ca-protected-person-dependants-abroad-outside-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-outside-quebec,Dependants abroad of protected persons — outside Quebec,cohort,2026-08-10,2026-07-01,33 months left,1004.52,months,ok,"About 60,700 people ahead of you",60700,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,current,2026-08-10,,More than 10 years,3652.5,years,ok,"About 22,400 people waiting",22400,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-01-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-02-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-03-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-04-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-05-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-06-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-07-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-08-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-09-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-10-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2016-11-01,We need more time to process your application,,,insufficient_data,Less than 100 people ahead of you,100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
